idx,state0,state1,state2,state3,user_input,controller_vote,actuation
3,-0.023789910599589348,-0.1516520231962204,0.00026415829779580235,0.263028085231781,0.0,1,1
5,-0.02595362812280655,-0.15173457562923431,0.004933290183544159,0.26484939455986023,0.0,1,1
7,-0.028121987357735634,-0.15195053815841675,0.00970480963587761,0.2696196138858795,0.0,1,1
9,-0.03030036762356758,-0.15230359137058258,0.014697468839585781,0.27742114663124084,0.0,1,1
11,-0.03249432519078255,-0.15280073881149292,0.02003408782184124,0.28841114044189453,0.0,1,1
12,-0.03555034101009369,0.04202987998723984,0.025802310556173325,0.002113504335284233,0.0,1,1
14,-0.02997429296374321,0.04129159078001976,0.020198218524456024,0.018402744084596634,0.0,1,1
16,-0.02442609891295433,0.04070881009101868,0.015209481120109558,0.0312584713101387,0.0,1,1
18,-0.018899735063314438,0.040264979004859924,0.010702908039093018,0.04104790464043617,0.0,1,1
20,-0.013389798812568188,0.03994721546769142,0.006559085100889206,0.04805638641119003,0.0,1,1
22,-0.007891364395618439,0.03974594548344612,0.0026692149695008993,0.05249558389186859,0.0,1,1
24,-0.002399855526164174,0.03965463861823082,-0.0010677531827241182,0.0545097291469574,0.0,1,1
26,0.0030890749767422676,0.03966961055994034,-0.004747756291180849,0.05418011546134949,0.0,1,1
28,0.008579653687775135,0.03978990018367767,-0.008464093320071697,0.051527924835681915,0.0,1,1
30,0.014076095074415207,0.04001719504594803,-0.012309803627431393,0.046515535563230515,0.0,1,1
32,0.019582709297537804,0.0403558649122715,-0.016380006447434425,0.03904630243778229,0.0,1,1
33,0.020389825105667114,0.2357088327407837,-0.015599080361425877,-0.25875934958457947,0.0,0,0
34,0.02510400302708149,0.040813006460666656,-0.020774267613887787,0.028962884098291397,0.0,1,1
36,0.030644794926047325,0.04139858856797218,-0.02559904009103775,0.016044043004512787,0.0,1,1
37,0.031472768634557724,0.23687812685966492,-0.025278158485889435,-0.2846044898033142,0.0,0,0
38,0.036210328340530396,0.04212565720081329,-0.030970247462391853,-9.990620242206205e-08,0.0,1,1
40,0.04180639609694481,0.04301058128476143,-0.03701607882976532,-0.01953445002436638,0.0,1,1
41,0.042666610330343246,0.23864328861236572,-0.03740676864981651,-0.32366272807121277,0.0,0,0
43,0.048320941627025604,-0.15039275586605072,-0.044740162789821625,0.2355147749185562,0.0,1,1
44,0.045313090085983276,0.045338913798332214,-0.040029868483543396,-0.07093815505504608,0.0,0,0
45,0.04621986672282219,-0.14918696880340576,-0.04144863039255142,0.20885127782821655,0.0,1,1
47,0.04416617378592491,0.24213816225528717,-0.03920386731624603,-0.40081822872161865,0.0,0,0
48,0.049008939415216446,0.04759359732270241,-0.04722023010253906,-0.12074858695268631,0.0,1,1
49,0.04996081069111824,0.24335916340351105,-0.049635205417871475,-0.42794719338417053,0.0,0,0
50,0.054827991873025894,0.04897403344511986,-0.058194149285554886,-0.151315376162529,0.0,0,0
52,0.05290210619568825,-0.3394622802734375,-0.058771342039108276,0.39521318674087524,0.0,1,1
53,0.04611286148428917,-0.1435578167438507,-0.050867076963186264,0.08459501713514328,0.0,0,0
54,0.043241702020168304,-0.3379151225090027,-0.04917517676949501,0.3608053922653198,0.0,1,1
56,0.03364080190658569,0.053567782044410706,-0.04089844971895218,-0.2525895833969116,0.0,0,0
57,0.034712158143520355,-0.14094702899456024,-0.04595024138689041,0.026917850598692894,0.0,1,1
59,0.032989270985126495,0.2505420744419098,-0.05100991576910019,-0.5865542888641357,0.0,0,0
62,0.03636343404650688,-0.33207324147224426,-0.06971055269241333,0.23204576969146729,0.0,1,1
63,0.029721969738602638,-0.13602802157402039,-0.06506963819265366,-0.0817861258983612,0.0,0,0
64,0.027001408860087395,-0.3301597833633423,-0.0667053610086441,0.18967826664447784,0.0,1,1
66,0.0177152119576931,-0.32831692695617676,-0.065377376973629,0.1489109992980957,0.0,1,1
67,0.011148872785270214,-0.13232266902923584,-0.062399160116910934,-0.16365958750247955,0.0,0,0
68,0.008502420037984848,-0.326498419046402,-0.06567235291004181,0.10870373994112015,0.0,1,1
69,0.001972451340407133,-0.13049985468387604,-0.06349827349185944,-0.20395414531230927,0.0,0,0
70,-0.0006375458324328065,-0.32465896010398865,-0.06757736206054688,0.06804162263870239,0.0,0,0
71,-0.007130725309252739,-0.5187502503395081,-0.06621652841567993,0.33866140246391296,0.0,1,1
72,-0.01750572957098484,-0.32275164127349854,-0.05944329872727394,0.025854341685771942,0.0,0,0
73,-0.023960763588547707,-0.5169729590415955,-0.058926209807395935,0.2992057502269745,0.0,1,1
74,-0.034300222992897034,-0.32106274366378784,-0.052942097187042236,-0.011463822796940804,0.0,0,0
75,-0.04072147607803345,-0.5153870582580566,-0.05317137390375137,0.2640565037727356,0.0,1,1
77,-0.05742017924785614,-0.5139517188072205,-0.04878848046064377,0.2322850078344345,0.0,1,1
78,-0.06769921630620956,-0.3181678354740143,-0.04414277896285057,-0.07537950575351715,0.0,0,0
79,-0.07406257092952728,-0.512630045413971,-0.04565036669373512,0.20305593311786652,0.0,1,1
80,-0.08431517332792282,-0.3168860077857971,-0.041589248925447464,-0.10367082804441452,0.0,0,0
82,-0.10088065266609192,-0.3156692683696747,-0.04015054181218147,-0.13052485883235931,0.0,0,0
83,-0.10719403624534607,-0.5101937651634216,-0.04276103898882866,0.1492256224155426,0.0,1,1
84,-0.11739791184663773,-0.31448641419410706,-0.039776526391506195,-0.15663498640060425,0.0,0,0
85,-0.12368763983249664,-0.5090169310569763,-0.042909227311611176,0.12323880940675735,0.0,0,0
86,-0.13386797904968262,-0.7034987211227417,-0.040444448590278625,0.40208151936531067,0.0,1,1
88,-0.15809449553489685,-0.3122561275959015,-0.030464284121990204,-0.20580053329467773,0.0,0,0
89,-0.16433961689472198,-0.5069295167922974,-0.0345802940428257,0.0771189033985138,0.0,1,1
90,-0.174478217959404,-0.31132933497428894,-0.03303791582584381,-0.22627054154872894,0.0,0,0
91,-0.18070480227470398,-0.505963921546936,-0.03756332769989967,0.05581064894795418,0.0,0,0
92,-0.19082407653331757,-0.7005277276039124,-0.03644711524248123,0.33640941977500916,0.0,1,1
93,-0.20483462512493134,-0.5049065351486206,-0.029718926176428795,0.032459475100040436,0.0,0,0
94,-0.21493275463581085,-0.6995899677276611,-0.02906973659992218,0.3156196177005768,0.0,1,1
95,-0.22892455756664276,-0.5040662884712219,-0.02275734581053257,0.013912658207118511,0.0,0,0
96,-0.23900587856769562,-0.6988545656204224,-0.022479092702269554,0.29932940006256104,0.0,1,1
97,-0.2529829740524292,-0.5034195184707642,-0.016492504626512527,-0.00035739681334234774,0.0,0,0
98,-0.2630513608455658,-0.6983011364936829,-0.016499651595950127,0.2870766520500183,0.0,1,1
99,-0.27701738476753235,-0.5029478073120117,-0.010758118703961372,-0.010764116421341896,0.0,0,0
100,-0.28707635402679443,-0.6979138255119324,-0.010973401367664337,0.2785051763057709,0.0,1,1
101,-0.3010346293449402,-0.5026370882987976,-0.005403297953307629,-0.0176184494048357,0.5,0,0
103,-0.3250409960746765,-0.5024775266647339,-0.00028857102734036744,-0.021137921139597893,0.5,0,0
